new_names;cv_mean_1;cv_mean_2;letter_mean_1;letter_mean_2;pres_mean_1;pres_mean_2;pres_class_1;pres_class_2;video_points_1;video_points_2;all_points_1;all_points_2
Jakub Marko;3;4;3,5;5;6;4,5;2;2;15;15;65;69
Toma Toma;3,75;3,75;5;4,75;10;9,25;2;2;20;20;95;91
Kilian Boucsein;3,75;3,25;4,75;4,25;9,5;9,25;2;2;;;72;67
Jakub Klapko;3;3,25;3,75;4;6,5;6,75;3;3;10;10;63;66
Angela Korčáková;1,5;2,25;1,75;1,5;0;0;0;0;;;13;15
Traian Niță;1,5;1,25;2,25;2;4,5;0;1;1;15;;48;13
Ing. Dávid Bán;3,25;4;3,25;2,5;5,75;6,5;2;2;10;10;59;62
Ariel Loj;3,25;3,75;3,5;3,75;9;9;2;2;20;20;83;86
Blahoslav Novota;2,25;2,5;2,25;1,5;0;0;0;0;10;5;28;21
Waldtraut Kraushaar;3,25;3,75;3,5;3,25;7,5;7,5;1;1;15;15;72;73
Alin Diaconescu;2,25;3,25;2,25;2,25;5,75;5,75;2;2;0;0;41;45
Dezider Dobšinský;3,75;3,5;4,75;5;8;9,25;2;2;;;66;71
Aneta Nistor;2;3;2;3;7,25;7;1;1;;;45;52
Edmund Mackovič;3,5;3,75;0;0;0;0;0;0;;;14;15
Ladislau Mocanu;2;3,25;3;4,25;7,5;7;1;1;20;20;70;78
Călin Dumitrescu;1,25;2,5;0;1,5;0;6,25;0;0;;20;5;61
Radoslav Ďuro;3,5;3,75;5;4,75;5,5;7,75;2;2;0;;56;65
Patrícia Masaríková;2,25;3;1,75;2,5;7;6,25;1;1;10;10;54;57
Elisabet van der Dussen;3;3;0;0;0;7,75;0;0;;;12;43
Anda Albu;2,75;2;3;2,75;4,75;4,75;3;3;20;20;62;58
Ludwig Liebelt;1,75;1,75;2;1,75;6,75;7;1;1;;;42;42
Augusta Lange .;3,5;4;3,25;2,5;6,75;8,5;2;2;20;20;74;80
Ela Krajčiová;1;1,75;0,25;1;0;0;0;0;;;5;11
Kornelia Jacobi Jäckel .;2;2;1;1,25;0;0;0;0;;;12;13
Vladimíra Holčíková;2,25;3;1,25;2,25;0;5,5;0;0;;;14;43
Uta Bauer;3,25;3;4;4,5;9;8,25;2;2;20;20;85;83
Annerose Steuer B.Eng.;0,5;1;0,5;0,5;0;0;0;0;;;4;6
Amedeu Nistor;3,75;4,5;3,75;4,75;8,25;8,25;1;1;0;;63;70
Horea Albu;3,75;3,5;2,75;3,25;5,5;4,75;2;2;20;5;68;51
Iustina Oprea;2,75;3;2,5;2,75;8,75;8;1;1;;;56;55
Floare Dobre;3,25;3,25;5;4,75;9,75;9,5;2;2;5;5;77;75
Lorenz Caspar-Weimer;2;2,5;1,75;4;2,5;7,25;2;2;;0;25;55
Bianca Dima;2,5;2,5;3,75;5;2,75;5,75;1;1;;0;36;53
Claudio Jäkel-Schuchhardt;2;3,25;3,25;3,5;5,5;7,5;2;2;;0;43;57
Uršuľa Mrazeková;4,25;5;4,5;5;8;9,25;2;2;20;20;87;97
Floarea Dochioiu;4;3,25;4,25;4;7,25;7,25;1;1;15;0;77;58
Ing. Albrecht Junk;0;3,25;0;2;0;0;0;0;;0;0;21
Sebastian Voinea;2;2;2,5;2,5;0;4,25;0;0;;;18;35
Romeo Dinu;3,25;3,25;4,5;3,5;9;7,25;2;2;15;15;82;71
Emma Trüb;4,25;4,5;4,75;5;9,25;8,25;2;2;;0;73;71
Zoja Tomaňová;3,25;3,25;4,75;4,25;9,5;9,5;2;2;15;15;85;83
Gertrúda Markovičová;4,75;5;4,5;5;10;8,75;2;2;20;20;97;95
Geraldine Steckel;4;4;4,75;5;9,5;8,75;1;1;10;5;83;76
Heiderose Etzler;3,25;3;0;0,75;7;7,25;2;2;15;20;56;64
Hedviga Janáková;2;2;1,5;3,5;0;0;0;0;0;0;14;22
Monika Holubová;3,5;3,5;4;5;9,5;6,5;1;1;15;10;83;70
Ladislau Voinea;3,25;3,25;4,5;4,75;9,5;9,25;2;2;20;20;89;89
Carolina Dobre;4,5;3,5;4,75;4,25;7,75;8,75;2;2;20;20;88;86
Frau Cäcilie Zirme B.Eng.;1,75;1;0;0,25;0;0;0;0;0;;0;5
Magdalena Preda;1,5;2,5;2;2,75;0;6,25;0;0;;0;14;46
Ing. Ana Klapp B.Sc.;2,5;1,5;1,5;4,25;9;6;2;2;20;10;72;57
Oskár Vrabec;3,25;3,25;5;5;8,75;8,5;2;2;0;0;68;67
Dominik Hroboň;2,75;3,25;4,75;5;9,5;9,5;1;1;20;20;88;91
Bohuslav Valach;4,25;4,5;4,5;5;8,75;6,5;2;2;19;14;89;78
Emil Nistor;4;3,5;4;3,5;7,25;5,25;1;1;20;20;81;69
 Ferdinand Karz;2,75;2,75;3,25;3;9;9,5;2;2;20;20;80;81
Boleslav Dzurjanin;3,5;4;2,25;3,5;8;3;2;2;;;55;42
Gicu Florea;0,5;2,5;2;3;0;5,75;0;0;;;10;45
Jarmila Húšeková;2,5;1,75;0,5;2,75;0;5,25;0;0;;;12;39
Jaroslava Zachariášová;4;3,25;2,5;2,75;8,5;9;1;1;20;20;80;80
Gregor Král;2,75;3,25;3;5;9;9;2;2;20;12;79;81
Lara Jäkel;3,5;3,75;3,75;4,25;8,25;9;2;2;19;10;81;78
Vasilica Pușcașu;2;1,5;1;0,75;0;0;0;0;;;12;9
Carolin Müller;3;2,75;4,5;3,25;5,75;5,5;3;3;20;15;73;61
Iancu Mocanu;3,25;3,25;3,25;5;9,75;9,25;2;2;15;15;80;85
Elvira Dinu;4,5;4,5;4,75;3,5;8,5;8,5;1;1;20;20;91;86
Dusan Schomber;4,5;3,25;3,5;3,75;7,5;8,75;1;1;0;;62;63
Eva Dobre;3,75;2,25;2,75;2,5;6,75;8,25;1;1;20;10;73;62
Danica Kováčová;2,75;3;4;2,75;9,25;8,5;2;2;15;15;79;72
Silvana Georgescu;0;3,25;0;2;0;0;0;0;;;0;21
Bernard Nistor;4,25;4;4,75;3,25;9,75;8,25;2;2;20;20;95;82
Charles Hesse;3,25;3,25;3;3,25;6;6,25;2;2;20;10;69;61
Ján Dusík;3,25;3,25;3,75;3,5;5;4;2;2;;;48;43
Stanislav Škoviera;4,5;3,5;3,5;3,75;9,25;7,75;2;2;;;69;60
Mohammad Hermann-Striebitz;2,75;2,25;0;0;0;0;0;0;;;11;9
Pompiliu Dumitrescu;1,25;1,25;2;1,25;0;0;0;0;;;13;10
Ondrej Michalko;2,75;3,25;4,75;4,25;9,25;8;2;2;;;67;62
Viola Haňáková;3,25;4,5;2,75;3,25;9,25;9,25;2;2;15;15;76;83
Kazimír Krížik;4,25;4,5;4,75;5;8,75;9,5;2;2;20;20;91;96
Eunika Majeská;3,25;3,25;1,75;3,75;9,75;9,25;2;2;15;15;74;80
Călin Ardelean;2,5;2,25;0;2;0;2,75;0;0;;;10;28
Arpád Zubko;3;2,25;3,5;3,75;9,75;10;1;1;20;20;85;84
Boris Huska;3;2,75;4,25;3,5;7;5,25;2;2;20;20;77;66
Daniela Valíčeková;2;0;4;4,25;9;10;2;2;20;20;80;77
Anne Stey MBA.;0;0;3,75;3,75;0;0;0;0;0;20;15;35
Vít Kučera;2,5;2,5;4,75;4,25;9,25;6,75;1;1;0;;66;54
Anton Finka Ph.D.;2,5;3,5;5;5;9,5;6,5;2;2;0;;68;60
Urban Medvecký;2,5;2,75;4;4,5;6;4,25;2;2;0;;50;46
